QuestionID,Emotional_Intensity,Emotion_Aversion,Harm,Self_Benefit,Other_Benefit,Premeditated,Illegality,Social_Norm_Violation,Socialness,Frequency,Personal_Familiarity,General_Familiarity,Morally_Appropriate
256,3.80,3.73,5.27,2.67,1.47,3.07,1.93,4.53,5.60,3.43,2.27,3.07,3.07
257,5.07,3.67,1.73,4.87,4.67,4.37,1.50,2.13,4.97,3.57,1.90,2.70,6.03
258,3.97,3.57,2.90,3.33,3.23,4.73,3.23,3.90,4.40,3.47,1.70,2.73,3.97
259,5.10,4.93,4.50,4.50,2.23,3.67,5.37,5.27,5.67,2.70,1.33,2.27,2.73
260,3.30,2.87,3.67,5.53,2.77,5.50,5.20,5.07,4.73,5.17,3.47,4.63,2.83
261,3.90,3.93,5.20,4.97,1.70,2.90,5.57,5.70,5.47,5.30,3.00,4.53,1.80
262,3.33,2.53,2.97,5.23,3.13,5.67,3.37,5.00,5.20,4.73,2.43,3.87,2.83
263,3.97,4.27,2.80,5.03,2.10,5.03,2.87,4.70,5.30,5.23,2.93,4.73,3.37
264,4.77,4.83,3.80,2.97,1.97,2.97,5.93,5.63,4.37,4.43,1.63,3.37,1.87
265,5.37,5.03,3.27,3.03,2.63,4.00,1.73,3.40,5.13,2.60,1.50,2.53,4.50
266,3.50,3.30,2.40,4.73,2.30,4.63,1.80,3.77,4.57,5.10,3.70,4.60,3.43
267,3.00,2.70,2.80,5.83,1.87,6.03,3.80,5.17,4.80,4.53,1.70,2.77,2.97
268,2.83,3.13,1.63,3.00,4.17,4.47,1.40,1.93,4.97,3.60,2.57,3.27,6.33
269,4.67,4.23,3.10,2.17,2.07,4.20,1.57,3.87,5.53,4.40,2.83,3.67,3.97
270,2.57,1.60,2.07,5.70,3.60,4.27,2.23,2.40,4.77,4.43,2.63,3.43,5.33
271,2.57,2.63,2.20,5.47,1.60,6.43,3.10,3.20,3.50,5.57,5.03,5.57,5.17
272,5.20,3.93,1.83,4.87,5.53,5.57,1.50,1.87,5.70,4.03,1.60,2.73,6.20
273,6.63,5.70,4.87,2.57,3.83,1.73,1.93,2.37,6.23,3.33,1.47,3.30,5.93
274,5.93,5.63,5.20,2.47,4.10,5.20,2.00,4.17,6.13,3.53,1.73,2.97,4.83
275,4.07,3.50,5.10,5.00,1.30,4.87,6.00,5.93,5.70,3.40,1.80,3.13,1.50
276,2.47,2.27,1.70,5.83,3.83,5.53,3.73,3.33,4.27,5.00,3.00,4.27,4.63
277,5.37,4.63,5.27,4.63,2.83,5.23,3.07,6.10,6.27,3.97,1.43,2.97,2.00
278,2.27,2.83,1.87,2.40,3.33,3.37,2.03,2.57,4.20,3.57,2.33,3.20,5.63
279,3.23,3.37,2.80,5.27,1.97,5.33,3.17,4.30,4.93,4.57,2.50,4.27,4.00
280,4.03,4.53,2.37,3.63,3.37,2.77,1.53,2.50,5.33,4.67,1.93,3.50,5.20
281,6.23,4.40,2.07,3.83,6.17,3.30,1.97,2.80,6.20,2.90,1.33,2.57,5.87
282,5.97,4.63,2.23,2.80,4.97,5.73,1.53,2.73,5.37,4.90,3.10,3.97,5.43
283,4.07,5.17,3.63,2.33,2.07,4.93,3.27,5.03,5.17,4.53,1.87,3.47,2.73
284,3.83,3.67,5.23,3.63,1.67,5.07,2.13,5.73,5.87,3.27,1.63,2.77,2.33
285,4.83,4.93,3.40,2.00,3.33,3.60,3.53,4.40,5.80,3.40,1.73,2.97,3.43
286,4.03,4.10,4.13,3.87,2.83,5.73,1.60,4.43,5.53,4.63,3.57,4.40,3.77
287,5.83,5.30,3.67,3.27,3.53,4.10,2.37,3.33,5.90,3.80,2.13,3.50,4.60
288,5.33,4.43,5.00,4.70,1.63,5.67,4.53,5.30,5.67,3.20,1.33,2.53,2.33
289,4.70,2.53,1.53,3.67,6.37,5.97,1.63,2.23,6.20,3.17,1.83,3.23,6.27
290,4.70,4.47,5.17,3.80,1.57,5.73,3.03,4.80,5.67,3.97,1.60,2.87,3.10
291,3.13,3.40,1.57,3.03,5.47,3.23,1.37,1.70,4.80,4.13,3.27,4.40,6.47
292,3.90,3.93,3.50,4.53,2.37,4.63,3.07,4.57,4.77,3.53,1.70,2.57,3.53
293,3.57,3.10,1.40,3.23,6.33,4.77,1.40,1.90,5.80,3.27,2.23,3.03,6.10
294,2.10,1.80,1.40,2.83,5.93,3.03,1.30,1.77,5.43,3.23,2.73,3.43,6.37
295,4.53,5.03,4.23,3.80,2.80,3.57,1.63,4.60,5.60,4.67,2.97,4.10,3.50
296,3.83,2.13,1.33,4.83,6.27,6.43,1.30,1.60,6.03,3.60,2.13,3.20,6.60
297,3.67,3.83,3.70,4.03,2.00,2.53,4.80,4.43,4.73,3.57,2.30,3.17,3.43
298,5.17,4.30,4.90,4.70,2.50,5.67,2.10,5.53,6.17,4.93,2.60,4.73,2.60
299,4.93,2.93,1.77,3.33,4.53,3.50,1.27,1.80,3.13,3.20,2.20,3.50,6.53
300,3.43,2.73,3.97,5.87,1.63,3.07,4.33,4.47,4.43,4.20,2.83,4.03,3.27
301,2.83,2.53,1.43,3.17,5.53,2.77,1.43,1.73,5.07,3.67,3.53,4.03,6.37
302,4.83,4.67,2.23,4.97,2.23,4.33,1.60,2.33,4.50,3.67,2.07,3.33,6.27
303,2.57,2.97,3.57,5.20,1.80,4.73,3.93,4.83,4.60,4.03,2.50,3.53,2.97
304,4.50,4.67,4.57,3.03,1.93,3.53,4.27,4.97,5.87,3.40,2.33,2.90,2.47
305,2.40,2.07,2.37,4.80,1.53,5.43,2.07,4.43,5.03,5.20,3.77,4.40,3.47
306,5.10,3.13,5.97,4.90,2.23,5.70,2.10,6.10,6.37,3.37,1.63,2.83,1.57
307,5.40,3.90,1.60,3.93,4.93,3.50,1.43,2.03,2.77,1.97,1.37,2.00,6.40
308,3.87,2.80,1.77,2.80,5.40,4.23,1.63,1.80,5.27,3.40,1.93,2.93,6.13
309,6.47,5.13,2.37,3.80,4.27,3.83,2.03,3.03,5.63,2.80,1.53,2.73,5.07
310,4.30,4.40,2.10,4.13,2.80,4.77,1.80,3.20,4.00,4.10,3.17,3.37,5.33
311,3.37,3.17,2.20,3.20,4.83,3.90,1.77,2.27,5.10,2.60,1.97,2.73,6.07
312,5.10,2.13,1.43,5.57,5.60,6.23,1.27,1.83,5.63,3.23,2.20,3.10,6.33
